<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus.Gold.Com.ETF,20220214,84400.00,84499.00,83177.00,84188.00,255327550843,3032819,904,D,83681.00,83400.00
Lotus.Gold.Com.ETF,20220213,82899.00,84000.00,82610.00,83681.00,208374483437,2490093,1204,D,82365.00,83557.00
Lotus.Gold.Com.ETF,20220212,81900.00,83000.00,81840.00,82365.00,125182581125,1519850,1397,D,80461.00,82332.00
Lotus.Gold.Com.ETF,20220209,80058.00,82100.00,80058.00,80461.00,46340738977,575938,722,D,80054.00,80440.00
Lotus.Gold.Com.ETF,20220208,80994.00,80994.00,79901.00,80054.00,70193877485,876835,1165,D,81300.00,80200.00
Lotus.Gold.Com.ETF,20220207,81690.00,81780.00,80890.00,81300.00,62991974605,774805,810,D,81257.00,81034.00
Lotus.Gold.Com.ETF,20220206,80750.00,81650.00,80650.00,81257.00,65433231608,805261,1071,D,81214.00,81263.00
Lotus.Gold.Com.ETF,20220205,82000.00,82000.00,80790.00,81214.00,118826702720,1463123,1681,D,83427.00,81071.00
Lotus.Gold.Com.ETF,20220202,83490.00,83799.00,83020.00,83427.00,21199893449,254114,506,D,83952.00,83400.00
Lotus.Gold.Com.ETF,20220201,84200.00,84200.00,83660.00,83952.00,31836011063,379219,532,D,84421.00,83799.00
Lotus.Gold.Com.ETF,20220131,84760.00,84760.00,83601.00,84421.00,62926160139,745385,639,D,84952.00,83849.00
Lotus.Gold.Com.ETF,20220130,85002.00,85500.00,84600.00,84952.00,36694823140,431946,754,D,86245.00,84601.00
Lotus.Gold.Com.ETF,20220129,86499.00,86599.00,85501.00,86245.00,101318041757,1174771,734,D,86319.00,85690.00
Lotus.Gold.Com.ETF,20220126,86000.00,86500.00,86000.00,86319.00,58411313499,676691,507,D,85596.00,86500.00
Lotus.Gold.Com.ETF,20220125,85300.00,86090.00,85002.00,85596.00,171534329575,2004010,791,D,86398.00,85640.00
Lotus.Gold.Com.ETF,20220124,86231.00,86800.00,86000.00,86398.00,176672158560,2044875,885,D,85468.00,86750.00
Lotus.Gold.Com.ETF,20220123,84649.00,86007.00,84645.00,85468.00,95702042270,1119737,780,D,84271.00,85996.00
