<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
495380.00,495380.00,495380.00,495380.00,-,-,2023-09-28,1402/07/06
491080.00,490900.00,496400.00,495380.00,2970.00,0.60%,2023-09-27,1402/07/05
492420.00,492410.00,492660.00,492410.00,2610.00,0.53%,2023-09-26,1402/07/04
495020.00,495020.00,495020.00,495020.00,-,-,2023-09-25,1402/07/03
495190.00,493730.00,495360.00,495020.00,1440.00,0.29%,2023-09-24,1402/07/02
493580.00,493580.00,493580.00,493580.00,-,-,2023-09-23,1402/07/01
494000.00,492750.00,494420.00,493580.00,350.00,0.07%,2023-09-22,1402/06/31
493930.00,493930.00,493930.00,493930.00,-,-,2023-09-21,1402/06/30
494180.00,491150.00,494430.00,493930.00,2780.00,0.57%,2023-09-20,1402/06/29
493800.00,490300.00,496450.00,491150.00,5300.00,1.08%,2023-09-19,1402/06/28
496620.00,494210.00,496790.00,496450.00,1120.00,0.23%,2023-09-18,1402/06/27
495800.00,493710.00,496270.00,495330.00,700.00,0.14%,2023-09-17,1402/06/26
497145.00,495840.00,498260.00,496030.00,3280.00,0.66%,2023-09-16,1402/06/25
499310.00,499310.00,499310.00,499310.00,-,-,2023-09-13,1402/06/22
499900.00,497000.00,500490.00,499310.00,2310.00,0.46%,2023-09-12,1402/06/21
497150.00,494160.00,497300.00,497000.00,1250.00,0.25%,2023-09-11,1402/06/20
497110.00,495750.00,498470.00,495750.00,900.00,0.18%,2023-09-10,1402/06/19
497245.00,496230.00,497840.00,496650.00,1190.00,0.24%,2023-09-09,1402/06/18
498910.00,496890.00,499980.00,497840.00,1930.00,0.39%,2023-09-08,1402/06/17
495910.00,495910.00,495910.00,495910.00,-,-,2023-09-07,1402/06/16
496205.00,494410.00,496500.00,495910.00,130.00,0.03%,2023-09-06,1402/06/15
496040.00,496040.00,496040.00,496040.00,-,-,2023-09-05,1402/06/14
496865.00,495930.00,497690.00,496040.00,360.00,0.07%,2023-09-04,1402/06/13
497205.00,495400.00,498010.00,496400.00,260.00,0.05%,2023-09-03,1402/06/12
497575.00,494250.00,498490.00,496660.00,2410.00,0.49%,2023-09-02,1402/06/11
494380.00,489430.00,494510.00,494250.00,4050.00,0.83%,2023-09-01,1402/06/10
490200.00,490200.00,490200.00,490200.00,-,-,2023-08-31,1402/06/09
490605.00,489300.00,491010.00,490200.00,810.00,0.17%,2023-08-30,1402/06/08
491865.00,490630.00,492720.00,491010.00,250.00,0.05%,2023-08-29,1402/06/07
491255.00,489910.00,491750.00,490760.00,630.00,0.13%,2023-08-28,1402/06/06
490875.00,489430.00,491620.00,490130.00,1490.00,0.30%,2023-08-27,1402/06/05
492065.00,488720.00,492510.00,491620.00,2460.00,0.50%,2023-08-26,1402/06/04
490120.00,488310.00,491080.00,489160.00,2510.00,0.51%,2023-08-25,1402/06/03
491670.00,491670.00,491670.00,491670.00,-,-,2023-08-24,1402/06/02
491695.00,489330.00,491720.00,491670.00,1440.00,0.29%,2023-08-23,1402/06/01
491540.00,490230.00,492850.00,490230.00,2500.00,0.51%,2023-08-22,1402/05/31
493075.00,486950.00,493420.00,492730.00,5780.00,1.19%,2023-08-21,1402/05/30
487480.00,486270.00,488010.00,486950.00,970.00,0.20%,2023-08-20,1402/05/29
488960.00,487210.00,490000.00,487920.00,580.00,0.12%,2023-08-19,1402/05/28
489450.00,487210.00,490400.00,488500.00,80.00,0.02%,2023-08-18,1402/05/27
488580.00,488580.00,488580.00,488580.00,-,-,2023-08-17,1402/05/26
489025.00,487390.00,489470.00,488580.00,860.00,0.18%,2023-08-16,1402/05/25
491945.00,489070.00,494450.00,489440.00,3040.00,0.62%,2023-08-15,1402/05/24
492965.00,490980.00,493450.00,492480.00,480.00,0.10%,2023-08-14,1402/05/23
493455.00,491370.00,493950.00,492960.00,1540.00,0.31%,2023-08-13,1402/05/22
492205.00,485410.00,492990.00,491420.00,6010.00,1.24%,2023-08-12,1402/05/21
491070.00,483810.00,496730.00,485410.00,11320.00,2.33%,2023-08-11,1402/05/20
496730.00,496590.00,496730.00,496730.00,140.00,0.03%,2023-08-10,1402/05/19
496660.00,495420.00,496730.00,496590.00,1170.00,0.24%,2023-08-09,1402/05/18
495945.00,493250.00,496470.00,495420.00,1920.00,0.39%,2023-08-08,1402/05/17
494970.00,492700.00,496440.00,493500.00,2940.00,0.60%,2023-08-07,1402/05/16
496915.00,495750.00,497390.00,496440.00,120.00,0.02%,2023-08-06,1402/05/15
496905.00,494510.00,497490.00,496320.00,1620.00,0.33%,2023-08-05,1402/05/14
496575.00,494700.00,498450.00,494700.00,6000.00,1.21%,2023-08-04,1402/05/13
500700.00,500700.00,500700.00,500700.00,-,-,2023-08-01,1402/05/10
501845.00,493660.00,502990.00,500700.00,7040.00,1.43%,2023-07-31,1402/05/09
493660.00,487410.00,493660.00,493660.00,5690.00,1.17%,2023-07-30,1402/05/08
489700.00,487550.00,491430.00,487970.00,3150.00,0.65%,2023-07-29,1402/05/07
491400.00,488770.00,491680.00,491120.00,2130.00,0.44%,2023-07-28,1402/05/06
488990.00,488990.00,488990.00,488990.00,-,-,2023-07-27,1402/05/05
489995.00,488990.00,491000.00,488990.00,1260.00,0.26%,2023-07-26,1402/05/04
490925.00,488370.00,491600.00,490250.00,1880.00,0.38%,2023-07-25,1402/05/03
488620.00,483900.00,488870.00,488370.00,2230.00,0.46%,2023-07-24,1402/05/02
486270.00,480160.00,486400.00,486140.00,2780.00,0.58%,2023-07-23,1402/05/01
484585.00,481660.00,485810.00,483360.00,2450.00,0.51%,2023-07-22,1402/04/31
486855.00,485600.00,487900.00,485810.00,560.00,0.12%,2023-07-21,1402/04/30
486370.00,486370.00,486370.00,486370.00,-,-,2023-07-20,1402/04/29
486620.00,482680.00,486870.00,486370.00,1670.00,0.34%,2023-07-19,1402/04/28
486435.00,484600.00,488170.00,484700.00,3470.00,0.72%,2023-07-18,1402/04/27
489415.00,484870.00,490660.00,488170.00,10.00,-,2023-07-17,1402/04/26
488250.00,483700.00,488320.00,488180.00,4480.00,0.93%,2023-07-16,1402/04/25
486045.00,483270.00,488390.00,483700.00,4690.00,0.97%,2023-07-15,1402/04/24
491140.00,487900.00,493890.00,488390.00,4220.00,0.86%,2023-07-14,1402/04/23
492610.00,492610.00,492610.00,492610.00,-,-,2023-07-13,1402/04/22
492755.00,491660.00,492900.00,492610.00,180.00,0.04%,2023-07-12,1402/04/21
492900.00,489620.00,493370.00,492430.00,970.00,0.20%,2023-07-11,1402/04/20
494875.00,490400.00,498290.00,491460.00,6830.00,1.39%,2023-07-10,1402/04/19
498980.00,496610.00,499670.00,498290.00,1340.00,0.27%,2023-07-09,1402/04/18
499765.00,495620.00,499900.00,499630.00,2490.00,0.50%,2023-07-08,1402/04/17
499615.00,496660.00,502090.00,497140.00,5990.00,1.20%,2023-07-07,1402/04/16
503130.00,503130.00,503130.00,503130.00,-,-,2023-07-06,1402/04/15
503130.00,500950.00,503130.00,503130.00,2180.00,0.44%,2023-07-05,1402/04/14
499030.00,498400.00,501400.00,500950.00,200.00,0.04%,2023-07-04,1402/04/13
502140.00,498300.00,502200.00,500750.00,1250.00,0.25%,2023-07-03,1402/04/12
503210.00,501400.00,503400.00,502000.00,2660.00,0.53%,2023-07-02,1402/04/11
500810.00,498600.00,500900.00,499340.00,1120.00,0.22%,2023-07-01,1402/04/10
492660.00,492600.00,498400.00,498220.00,5990.00,1.22%,2023-06-30,1402/04/09
492230.00,492230.00,492230.00,492230.00,-,-,2023-06-28,1402/04/07
492600.00,490600.00,492900.00,492230.00,590.00,0.12%,2023-06-27,1402/04/06
499320.00,492600.00,499400.00,492820.00,4990.00,1.01%,2023-06-26,1402/04/05
498200.00,495600.00,499900.00,497810.00,1590.00,0.32%,2023-06-25,1402/04/04
501560.00,497410.00,502200.00,499400.00,9210.00,1.84%,2023-06-24,1402/04/03
500370.00,497500.00,508680.00,508610.00,11480.00,2.31%,2023-06-23,1402/04/02
497130.00,497130.00,497130.00,497130.00,-,-,2023-06-22,1402/04/01
495600.00,494100.00,497400.00,497130.00,11400.00,2.35%,2023-06-21,1402/03/31
486680.00,485600.00,488900.00,485730.00,3660.00,0.75%,2023-06-20,1402/03/30
486170.00,485120.00,490400.00,489390.00,2550.00,0.52%,2023-06-19,1402/03/29
489640.00,485300.00,489800.00,486840.00,5140.00,1.06%,2023-06-18,1402/03/28
495770.00,491750.00,495900.00,491980.00,1200.00,0.24%,2023-06-17,1402/03/27
494370.00,491600.00,499400.00,493180.00,5080.00,1.04%,2023-06-16,1402/03/26
488100.00,488010.00,488100.00,488100.00,-,-,2023-06-15,1402/03/25
486260.00,486100.00,488400.00,488100.00,450.00,0.09%,2023-06-14,1402/03/24
493090.00,484600.00,498900.00,488550.00,10260.00,2.10%,2023-06-13,1402/03/23
484350.00,484100.00,499900.00,498810.00,17060.00,3.54%,2023-06-12,1402/03/22
473160.00,470600.00,482900.00,481750.00,11920.00,2.54%,2023-06-11,1402/03/21
490200.00,468610.00,491900.00,469830.00,23560.00,5.01%,2023-06-10,1402/03/20
494080.00,492700.00,496100.00,493390.00,2550.00,0.52%,2023-06-09,1402/03/19
490840.00,490840.00,490840.00,490840.00,-,-,2023-06-08,1402/03/18
496540.00,489300.00,496600.00,490840.00,3550.00,0.72%,2023-06-07,1402/03/17
506540.00,494110.00,506540.00,494390.00,13600.00,2.75%,2023-06-06,1402/03/16
508870.00,507300.00,517900.00,507990.00,1500.00,0.30%,2023-06-05,1402/03/15
506490.00,506490.00,506490.00,506490.00,3740.00,0.74%,2023-06-03,1402/03/13
509320.00,506300.00,510230.00,510230.00,660.00,0.13%,2023-06-02,1402/03/12
510890.00,510890.00,510890.00,510890.00,-,-,2023-06-01,1402/03/11
512390.00,508800.00,512400.00,510890.00,2550.00,0.50%,2023-05-31,1402/03/10
508440.00,507300.00,510600.00,508340.00,4180.00,0.82%,2023-05-30,1402/03/09
511900.00,511800.00,514600.00,512520.00,4650.00,0.91%,2023-05-29,1402/03/08
512630.00,511900.00,518100.00,517170.00,2050.00,0.40%,2023-05-28,1402/03/07
517660.00,514900.00,517900.00,515120.00,2730.00,0.53%,2023-05-27,1402/03/06
516290.00,516100.00,527800.00,517850.00,3530.00,0.69%,2023-05-26,1402/03/05
