<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20230830,125960.00,125960.00,124803.00,125450.00,21248660172,169379,279,D,124803.00,125005.00
Kian.Gold.ETF,20230829,125000.00,125578.00,124301.00,124803.00,15739556282,126115,269,D,124870.00,124313.00
Kian.Gold.ETF,20230828,125100.00,125450.00,124600.00,124870.00,24322581604,194783,314,D,124954.00,124868.00
Kian.Gold.ETF,20230827,124200.00,125599.00,124200.00,124954.00,27820261743,222644,308,D,124605.00,125100.00
Kian.Gold.ETF,20230826,125397.00,125397.00,124200.00,124605.00,38857270050,311843,492,D,125579.00,124448.00
Kian.Gold.ETF,20230823,125890.00,125999.00,125152.00,125579.00,20815340123,165755,370,D,125035.00,125469.00
Kian.Gold.ETF,20230822,124850.00,125400.00,124600.00,125035.00,21607235784,172810,325,D,123908.00,125150.00
Kian.Gold.ETF,20230821,124600.00,124600.00,123000.00,123908.00,45981172055,371090,413,D,124540.00,124001.00
Kian.Gold.ETF,20230820,124399.00,125500.00,124000.00,124540.00,32624356756,261958,389,D,124185.00,124588.00
Kian.Gold.ETF,20230819,125022.00,125022.00,123800.00,124185.00,36004671513,289928,521,D,126111.00,124400.00
Kian.Gold.ETF,20230816,126030.00,126999.00,125501.00,126111.00,18422991025,146086,364,D,126298.00,126099.00
Kian.Gold.ETF,20230815,125615.00,126995.00,125615.00,126298.00,21896788991,173374,329,D,127134.00,125925.00
Kian.Gold.ETF,20230814,127800.00,127990.00,126000.00,127134.00,33776531935,265677,470,D,127038.00,126256.00
Kian.Gold.ETF,20230813,127000.00,129000.00,126152.00,127038.00,83268474998,655460,537,D,124708.00,127300.00
Kian.Gold.ETF,20230812,125790.00,125790.00,123550.00,124708.00,99533841183,798136,759,D,129268.00,124756.00
Kian.Gold.ETF,20230809,129100.00,129900.00,128503.00,129268.00,32589454060,252107,366,D,128495.00,129870.00
Kian.Gold.ETF,20230808,128500.00,129991.00,128023.00,128495.00,46848968396,364597,362,D,129505.00,128500.00
