<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
"316,220","315,650","317,220","317,120",300,0.09%,2022-09-20,1401/06/29
"317,270","315,450","317,520","316,820",300,0.09%,2022-09-19,1401/06/28
"315,250","314,650","316,920","316,520",1160,0.37%,2022-09-18,1401/06/27
"319,220","315,250","319,520","315,360",200,0.06%,2022-09-17,1401/06/26
"315,560","315,560","315,560","315,560",-,-,2022-09-15,1401/06/24
"316,010","315,450","316,720","315,560",1840,0.59%,2022-09-14,1401/06/23
"315,320","311,750","315,320","313,720",2760,0.88%,2022-09-13,1401/06/22
"309,980","309,750","316,520","316,480",6720,2.17%,2022-09-12,1401/06/21
"309,160","307,150","310,020","309,760",740,0.24%,2022-09-11,1401/06/20
"303,820","303,750","309,020","309,020",5270,1.73%,2022-09-10,1401/06/19
"304,520","303,650","307,520","303,750",1340,0.44%,2022-09-09,1401/06/18
"302,410","302,410","302,410","302,410",-,-,2022-09-08,1401/06/17
"301,510","300,950","303,020","302,410",240,0.08%,2022-09-07,1401/06/16
"301,210","299,750","302,520","302,170",310,0.10%,2022-09-06,1401/06/15
"301,990","301,150","303,020","302,480",310,0.10%,2022-09-05,1401/06/14
"302,420","297,450","302,420","302,170",390,0.13%,2022-09-04,1401/06/13
"300,990","300,950","303,220","302,560",3110,1.04%,2022-09-03,1401/06/12
"298,820","298,350","300,320","299,450",980,0.33%,2022-09-02,1401/06/11
"298,470","298,470","298,470","298,470",-,-,2022-09-01,1401/06/10
"298,260","297,950","298,520","298,470",580,0.19%,2022-08-31,1401/06/09
"300,860","298,950","301,220","299,050",1440,0.48%,2022-08-30,1401/06/08
"295,300","294,950","297,720","297,610",3110,1.06%,2022-08-29,1401/06/07
"297,950","294,500","301,400","294,500",21500,7.30%,2022-08-28,1401/06/06
"316,000","316,000","316,000","316,000",3000,0.96%,2022-08-08,1401/05/17
"313,000","313,000","313,000","313,000",1000,0.32%,2022-08-03,1401/05/12
"315,500","314,000","317,000","314,000",58100,22.70%,2022-08-02,1401/05/11
"255,900","255,900","255,900","255,900",-,-,2022-05-16,1401/02/26
"279,700","255,900","303,500","255,900",46900,18.33%,2022-05-15,1401/02/25
"302,880","297,730","302,960","302,800",4690,1.57%,2022-05-14,1401/02/24
"302,035","297,250","305,960","298,110",42210,16.49%,2022-05-13,1401/02/23
"255,900","255,900","255,900","255,900",-,-,2022-05-12,1401/02/22
"280,860","255,900","305,820","255,900",100,0.04%,2022-05-11,1401/02/21
"282,210","282,210","288,300","287,410",5120,1.81%,2022-05-09,1401/02/19
